* Measurement data measured by REW V5.20.13
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,500
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 19.09.2023 20:29:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Letshuoer Kinda Lava L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
412.000000	80.953	154.2649
418.000000	80.924	154.3797
425.000000	80.893	154.5167
431.000000	80.867	154.6343
437.000000	80.842	154.7515
444.000000	80.813	154.8877
450.000000	80.789	155.0056
455.000000	80.770	155.1069
462.000000	80.746	155.2593
468.000000	80.726	155.3999
475.000000	80.705	155.5499
482.000000	80.684	155.6576
487.000000	80.666	155.7158
494.000000	80.639	155.8057
500.000000	80.617	155.9094
508.000000	80.592	156.0805
515.000000	80.572	156.2418
522.000000	80.550	156.3995
530.000000	80.522	156.5739
538.000000	80.494	156.7420
545.000000	80.472	156.8843
552.000000	80.452	157.0253
560.000000	80.430	157.1901
570.000000	80.403	157.4099
580.000000	80.376	157.6471
590.000000	80.352	157.8963
600.000000	80.329	158.1480
608.000000	80.311	158.3535
615.000000	80.295	158.5379
622.000000	80.281	158.7242
630.000000	80.265	158.9379
640.000000	80.247	159.2096
650.000000	80.230	159.4889
660.000000	80.215	159.7780
670.000000	80.200	160.0772
680.000000	80.187	160.3849
690.000000	80.175	160.6988
700.000000	80.164	161.0175
710.000000	80.156	161.3433
720.000000	80.150	161.6776
730.000000	80.146	162.0170
740.000000	80.143	162.3593
750.000000	80.141	162.7064
762.000000	80.143	163.1310
775.000000	80.149	163.6025
788.000000	80.159	164.0850
800.000000	80.171	164.5363
812.000000	80.186	164.9888
825.000000	80.206	165.4784
838.000000	80.230	165.9701
850.000000	80.257	166.4285
862.000000	80.288	166.8887
875.000000	80.326	167.3860
885.000000	80.358	167.7675
900.000000	80.412	168.3349
912.000000	80.460	168.7811
925.000000	80.516	169.2520
938.000000	80.576	169.7067
950.000000	80.635	170.1111
962.000000	80.698	170.5016
975.000000	80.769	170.9090
988.000000	80.843	171.2974
1000.000000	80.915	171.6376
1015.000000	81.008	172.0371
1030.000000	81.105	172.4050
1044.000000	81.200	172.7164
1060.000000	81.313	173.0314
1075.000000	81.423	173.2812
1090.000000	81.537	173.4747
1106.000000	81.659	173.6039
1120.000000	81.762	173.6483
1138.000000	81.885	173.6390
1150.000000	81.960	173.6195
1172.000000	82.090	173.6046
1180.000000	82.136	173.6068
1206.000000	82.286	173.6142
1220.000000	82.368	173.6047
1241.000000	82.490	173.5638
1250.000000	82.542	173.5367
1265.000000	82.628	173.4795
1280.000000	82.712	173.4084
1315.000000	82.901	173.1984
1320.000000	82.928	173.1641
1340.000000	83.031	173.0177
1360.000000	83.133	172.8596
1380.000000	83.231	172.6933
1400.000000	83.327	172.5214
1430.000000	83.466	172.2559
1450.000000	83.555	172.0755
1475.000000	83.663	171.8477
1500.000000	83.768	171.6177
1525.000000	83.871	171.3893
1550.000000	83.971	171.1670
1575.000000	84.067	170.9509
1600.000000	84.159	170.7458
1625.000000	84.247	170.5684
1650.000000	84.334	170.4398
1675.000000	84.422	170.3798
1700.000000	84.520	170.3898
1725.000000	84.636	170.4294
1750.000000	84.769	170.4247
1775.000000	84.913	170.3145
1800.000000	85.058	170.0865
1825.000000	85.196	169.7699
1850.000000	85.327	169.4044
1875.000000	85.451	169.0184
1900.000000	85.570	168.6253
1925.000000	85.686	168.2278
1950.000000	85.801	167.8240
1975.000000	85.914	167.4114
2000.000000	86.027	166.9868
2030.000000	86.160	166.4564
2060.000000	86.293	165.8991
2090.000000	86.423	165.3123
2120.000000	86.551	164.6946
2140.000000	86.635	164.2651
2180.000000	86.800	163.3610
2200.000000	86.880	162.8856
2240.000000	87.035	161.8865
2270.000000	87.146	161.0959
2300.000000	87.252	160.2716
2330.000000	87.352	159.4160
2360.000000	87.444	158.5316
2400.000000	87.556	157.3148
2430.000000	87.630	156.3818
2470.000000	87.715	155.1226
2500.000000	87.768	154.1756
2540.000000	87.825	152.9249
2580.000000	87.869	151.7039
2620.000000	87.900	150.5215
2650.000000	87.918	149.6610
2690.000000	87.935	148.5469
2720.000000	87.943	147.7330
2760.000000	87.950	146.6691
2800.000000	87.953	145.6202
2850.000000	87.948	144.3167
2900.000000	87.932	143.0171
2950.000000	87.901	141.7413
3000.000000	87.857	140.5190
3040.000000	87.814	139.5844
3070.000000	87.779	138.9023
3110.000000	87.729	138.0074
3150.000000	87.673	137.1219
3200.000000	87.593	136.0312
3250.000000	87.499	134.9758
3300.000000	87.391	133.9767
3350.000000	87.270	133.0502
3400.000000	87.135	132.2097
3450.000000	86.987	131.4732
3500.000000	86.830	130.8632
3550.000000	86.666	130.3987
3600.000000	86.502	130.0840
3650.000000	86.343	129.9030
3700.000000	86.194	129.8242
3750.000000	86.054	129.8138
3820.000000	85.873	129.8712
3870.000000	85.749	129.9535
3950.000000	85.560	130.1683
4000.000000	85.447	130.3660
4060.000000	85.319	130.6749
4120.000000	85.201	131.0593
4180.000000	85.096	131.5077
4250.000000	84.994	132.0871
4310.000000	84.926	132.6054
4370.000000	84.878	133.1163
4440.000000	84.848	133.6666
4500.000000	84.843	134.0632
4550.000000	84.853	134.3140
4620.000000	84.884	134.5031
4680.000000	84.923	134.4814
4750.000000	84.973	134.2046
4820.000000	85.020	133.6270
4870.000000	85.042	133.0225
4940.000000	85.048	131.9165
5000.000000	85.018	130.7607
5080.000000	84.910	129.0333
5150.000000	84.745	127.5039
5220.000000	84.515	126.1292
5300.000000	84.190	124.9118
5380.000000	83.828	124.1423
5450.000000	83.500	123.8057
5520.000000	83.174	123.7160
5600.000000	82.807	123.8410
5700.000000	82.353	124.2990
5800.000000	81.903	125.1220
5900.000000	81.468	126.3165
6000.000000	81.057	127.8502
6080.000000	80.751	129.2932
6150.000000	80.501	130.6965
6220.000000	80.271	132.2192
6300.000000	80.032	134.0928
6400.000000	79.774	136.6139
6500.000000	79.565	139.3044
6600.000000	79.408	142.1271
6700.000000	79.308	145.0399
6800.000000	79.266	147.9941
6900.000000	79.283	150.9390
7000.000000	79.356	153.8334
7100.000000	79.484	156.6497
7200.000000	79.666	159.3642
7300.000000	79.904	161.9498
7400.000000	80.199	164.3738
7500.000000	80.554	166.5892
7620.000000	81.064	168.8688
7750.000000	81.717	170.6709
7880.000000	82.454	171.4867
8000.000000	83.166	171.0652
8120.000000	83.847	169.2637
8250.000000	84.454	165.6454
8380.000000	84.826	160.5639
8500.000000	84.898	155.2408
8620.000000	84.698	150.1853
8750.000000	84.225	145.8676
8850.000000	83.739	143.6367
9000.000000	82.914	142.0112
9120.000000	82.226	142.0076
9250.000000	81.490	143.1429
9380.000000	80.794	145.3237
9500.000000	80.215	148.1176
9620.000000	79.712	151.5091
9750.000000	79.268	155.6959
9880.000000	78.936	160.2650
10000.000000	78.732	164.7065
10150.000000	78.620	170.4147
10300.000000	78.671	176.1339
10440.000000	78.874	-178.6852
10600.000000	79.299	-173.2048
10750.000000	79.881	-168.8427
10900.000000	80.608	-165.7187
11060.000000	81.444	-164.4147
11200.000000	82.090	-165.4125
11380.000000	82.587	-169.2564
11500.000000	82.653	-172.4658
11720.000000	82.381	-177.5665
11800.000000	82.212	-179.1431
12060.000000	81.392	176.4803
12200.000000	80.738	175.2351
12410.000000	79.563	175.8225
12500.000000	79.039	176.9821
12650.000000	78.207	179.8862
12800.000000	77.484	-176.3691
13150.000000	76.350	-166.5970
13200.000000	76.243	-165.2373
13400.000000	75.907	-160.0732
13600.000000	75.659	-155.3040
13800.000000	75.458	-150.7408
14000.000000	75.305	-146.2133
14300.000000	75.220	-139.4862
14500.000000	75.287	-135.3195
14750.000000	75.499	-131.0497
15000.000000	75.761	-128.4350
15250.000000	75.913	-127.6809
15500.000000	75.809	-128.1400
15750.000000	75.403	-128.5832
16000.000000	74.763	-128.0992
16250.000000	73.991	-126.5936
16500.000000	73.141	-124.3437
16750.000000	72.201	-121.3516
17000.000000	71.169	-117.3350
17250.000000	70.083	-112.0980
17500.000000	69.015	-105.7233
17750.000000	68.041	-98.5354
18000.000000	67.226	-91.0116
18250.000000	66.612	-83.7215
18500.000000	66.208	-77.2924
18750.000000	65.982	-72.3752
19000.000000	65.856	-69.5453
19250.000000	65.716	-69.0658
19500.000000	65.472	-70.5648
19750.000000	65.135	-72.9233
