* Measurement data measured by REW V5.20.13
* Source: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 20.08.2023 14:12:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: realme Air 5 Harpo Custom
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
330.000000	108.518	-128.7498
335.000000	108.440	-127.5747
340.000000	108.366	-126.4295
345.000000	108.295	-125.3021
350.000000	108.225	-124.2153
355.000000	108.160	-123.1455
360.000000	108.097	-122.0221
365.000000	108.028	-120.7916
370.000000	107.949	-119.4982
375.000000	107.871	-118.2260
382.000000	107.773	-116.5120
387.000000	107.704	-115.3198
395.000000	107.586	-113.4312
400.000000	107.510	-112.2392
406.000000	107.422	-110.8002
412.000000	107.342	-109.3889
418.000000	107.268	-108.0056
425.000000	107.181	-106.3879
431.000000	107.102	-104.9849
437.000000	107.018	-103.5603
444.000000	106.916	-101.8769
450.000000	106.828	-100.4183
455.000000	106.758	-99.1884
462.000000	106.663	-97.4365
468.000000	106.580	-95.9100
475.000000	106.489	-94.1111
482.000000	106.405	-92.2979
487.000000	106.349	-91.0048
494.000000	106.275	-89.2029
500.000000	106.218	-87.6541
508.000000	106.148	-85.5675
515.000000	106.083	-83.7570
522.000000	106.012	-81.9921
530.000000	105.926	-79.9869
538.000000	105.845	-77.9721
545.000000	105.781	-76.2252
552.000000	105.722	-74.4937
560.000000	105.656	-72.5004
570.000000	105.569	-69.9716
580.000000	105.482	-67.4244
590.000000	105.396	-64.8943
600.000000	105.310	-62.3980
608.000000	105.239	-60.4120
615.000000	105.179	-58.6617
622.000000	105.123	-56.8837
630.000000	105.066	-54.8164
640.000000	105.002	-52.2177
650.000000	104.939	-49.6332
660.000000	104.867	-47.0547
670.000000	104.791	-44.4959
680.000000	104.717	-41.9497
690.000000	104.652	-39.3858
700.000000	104.595	-36.7945
710.000000	104.542	-34.1798
720.000000	104.493	-31.5499
730.000000	104.446	-28.9042
740.000000	104.404	-26.2607
750.000000	104.367	-23.6368
762.000000	104.328	-20.5019
775.000000	104.289	-17.1167
788.000000	104.254	-13.7590
800.000000	104.228	-10.6674
812.000000	104.208	-7.5771
825.000000	104.190	-4.2437
838.000000	104.175	-0.9100
850.000000	104.166	2.1890
862.000000	104.164	5.2928
875.000000	104.171	8.6306
885.000000	104.180	11.1868
900.000000	104.199	15.0073
912.000000	104.220	18.0243
925.000000	104.246	21.2434
938.000000	104.277	24.4412
950.000000	104.310	27.3895
962.000000	104.346	30.3242
