* Measurement data measured by REW V5.30 beta 4
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 17.12.2023 18:47:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Aria 2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
375.000000	71.236	165.1084
382.000000	71.169	165.4688
387.000000	71.123	165.7273
395.000000	71.051	166.1405
400.000000	71.007	166.4014
406.000000	70.955	166.7195
412.000000	70.905	167.0403
418.000000	70.857	167.3641
425.000000	70.802	167.7440
431.000000	70.757	168.0717
437.000000	70.713	168.4056
444.000000	70.663	168.7966
450.000000	70.621	169.1314
455.000000	70.587	169.4120
462.000000	70.541	169.8046
468.000000	70.502	170.1428
475.000000	70.459	170.5463
482.000000	70.417	170.9584
487.000000	70.388	171.2547
494.000000	70.348	171.6687
500.000000	70.316	172.0204
508.000000	70.275	172.4864
515.000000	70.240	172.8949
522.000000	70.206	173.3076
530.000000	70.168	173.7858
538.000000	70.132	174.2700
545.000000	70.102	174.6997
552.000000	70.072	175.1327
560.000000	70.040	175.6267
570.000000	70.003	176.2474
580.000000	69.968	176.8713
590.000000	69.934	177.4883
600.000000	69.903	178.1034
608.000000	69.881	178.6070
615.000000	69.862	179.0549
622.000000	69.845	179.5042
630.000000	69.826	-179.9829
640.000000	69.803	-179.3419
650.000000	69.785	-178.7020
660.000000	69.770	-178.0664
670.000000	69.755	-177.4239
680.000000	69.741	-176.7677
690.000000	69.729	-176.1059
700.000000	69.720	-175.4443
710.000000	69.715	-174.7827
720.000000	69.712	-174.1201
730.000000	69.711	-173.4545
740.000000	69.712	-172.7850
750.000000	69.715	-172.1115
762.000000	69.722	-171.2934
775.000000	69.734	-170.3970
788.000000	69.751	-169.4997
800.000000	69.772	-168.6696
812.000000	69.796	-167.8368
825.000000	69.828	-166.9382
838.000000	69.865	-166.0399
850.000000	69.903	-165.2167
862.000000	69.946	-164.4017
875.000000	69.997	-163.5222
885.000000	70.042	-162.8511
900.000000	70.115	-161.8649
912.000000	70.178	-161.0989
925.000000	70.251	-160.2921
938.000000	70.328	-159.5063
950.000000	70.404	-158.7954
962.000000	70.483	-158.0984
975.000000	70.573	-157.3661
988.000000	70.666	-156.6642
1000.000000	70.755	-156.0444
1015.000000	70.870	-155.3075
1030.000000	70.987	-154.6137
1044.000000	71.100	-154.0039
1060.000000	71.231	-153.3497
1075.000000	71.356	-152.7770
1090.000000	71.483	-152.2435
1106.000000	71.618	-151.7158
1120.000000	71.736	-151.2873
1138.000000	71.886	-150.7840
1150.000000	71.986	-150.4777
1172.000000	72.167	-149.9659
1180.000000	72.233	-149.7940
1206.000000	72.445	-149.2859
1220.000000	72.558	-149.0405
1241.000000	72.725	-148.7069
1250.000000	72.795	-148.5767
1265.000000	72.912	-148.3757
1280.000000	73.027	-148.1920
1315.000000	73.290	-147.8296
1320.000000	73.327	-147.7847
1340.000000	73.473	-147.6169
1360.000000	73.616	-147.4659
