* Measurement data measured by REW V5.20.13
* Source: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 28.06.2023 14:22:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ej07 r
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
340.000000	107.872	8.0643
345.000000	107.901	8.3117
350.000000	107.932	8.5519
355.000000	107.962	8.7940
360.000000	107.992	9.0382
365.000000	108.021	9.2757
370.000000	108.048	9.5032
375.000000	108.075	9.7239
382.000000	108.111	10.0233
387.000000	108.136	10.2288
395.000000	108.176	10.5468
400.000000	108.200	10.7456
406.000000	108.228	10.9870
412.000000	108.256	11.2239
418.000000	108.284	11.4497
425.000000	108.315	11.7054
431.000000	108.342	11.9234
437.000000	108.368	12.1388
444.000000	108.397	12.3861
450.000000	108.421	12.5981
455.000000	108.440	12.7753
462.000000	108.466	13.0208
468.000000	108.488	13.2293
475.000000	108.514	13.4695
482.000000	108.538	13.7056
487.000000	108.555	13.8725
494.000000	108.578	14.1036
500.000000	108.597	14.3016
508.000000	108.623	14.5699
515.000000	108.646	14.8075
522.000000	108.668	15.0437
530.000000	108.693	15.3107
538.000000	108.716	15.5760
545.000000	108.736	15.8061
552.000000	108.757	16.0339
560.000000	108.780	16.2934
570.000000	108.809	16.6214
580.000000	108.837	16.9658
590.000000	108.863	17.3218
600.000000	108.889	17.6764
608.000000	108.910	17.9596
615.000000	108.927	18.2107
622.000000	108.944	18.4676
630.000000	108.963	18.7665
640.000000	108.986	19.1396
650.000000	109.012	19.5088
660.000000	109.039	19.8836
670.000000	109.067	20.2716
680.000000	109.096	20.6654
690.000000	109.126	21.0575
700.000000	109.156	21.4470
710.000000	109.189	21.8334
720.000000	109.222	22.2165
730.000000	109.256	22.5998
740.000000	109.290	22.9886
750.000000	109.324	23.3859
762.000000	109.366	23.8742
775.000000	109.414	24.4156
788.000000	109.464	24.9614
800.000000	109.514	25.4591
812.000000	109.567	25.9544
