* Measurement data measured by REW V5.30 beta 4
* Source: Mikrofon (US-2x2 HR), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 12.12.2023 20:11:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rickdiculous Bass Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
412.000000	69.369	160.7033
418.000000	69.356	161.4456
425.000000	69.343	162.2974
431.000000	69.335	163.0128
437.000000	69.330	163.7076
444.000000	69.326	164.4862
450.000000	69.325	165.1284
455.000000	69.325	165.6520
462.000000	69.327	166.3699
468.000000	69.329	166.9708
475.000000	69.332	167.6652
482.000000	69.336	168.3588
487.000000	69.341	168.8546
494.000000	69.352	169.5420
500.000000	69.363	170.1094
508.000000	69.382	170.8174
515.000000	69.400	171.3988
522.000000	69.417	171.9569
530.000000	69.436	172.5736
538.000000	69.453	173.1760
545.000000	69.466	173.6974
552.000000	69.480	174.2117
560.000000	69.494	174.7882
570.000000	69.513	175.4949
580.000000	69.532	176.1890
590.000000	69.553	176.8681
600.000000	69.575	177.5446
608.000000	69.592	178.0881
615.000000	69.607	178.5591
622.000000	69.623	179.0247
630.000000	69.641	179.5557
640.000000	69.664	-179.7786
650.000000	69.689	-179.1137
660.000000	69.716	-178.4569
670.000000	69.745	-177.8049
680.000000	69.775	-177.1525
690.000000	69.807	-176.5018
700.000000	69.841	-175.8540
710.000000	69.878	-175.2100
720.000000	69.917	-174.5718
730.000000	69.959	-173.9375
740.000000	70.003	-173.3088
750.000000	70.051	-172.6865
762.000000	70.112	-171.9538
775.000000	70.182	-171.1826
788.000000	70.258	-170.4300
800.000000	70.333	-169.7477
812.000000	70.412	-169.0849
825.000000	70.501	-168.3997
838.000000	70.594	-167.7494
850.000000	70.684	-167.1817
862.000000	70.777	-166.6459
875.000000	70.881	-166.1000
885.000000	70.962	-165.7061
900.000000	71.086	-165.1689
912.000000	71.187	-164.7921
925.000000	71.297	-164.4358
938.000000	71.405	-164.1272
950.000000	71.503	-163.8793
962.000000	71.599	-163.6634
975.000000	71.700	-163.4654
988.000000	71.798	-163.3008
1000.000000	71.885	-163.1723
1015.000000	71.988	-163.0412
1030.000000	72.086	-162.9395
1044.000000	72.172	-162.8599
1060.000000	72.265	-162.7773
1075.000000	72.348	-162.7060
1090.000000	72.425	-162.6376
1106.000000	72.503	-162.5618
1120.000000	72.566	-162.4895
1138.000000	72.643	-162.3829
1150.000000	72.692	-162.2996
1172.000000	72.778	-162.1221
1180.000000	72.808	-162.0500
1206.000000	72.903	-161.7787
1220.000000	72.952	-161.6061
1241.000000	73.026	-161.3170
1250.000000	73.059	-161.1815
1265.000000	73.114	-160.9372
1280.000000	73.170	-160.6704
1315.000000	73.312	-159.9820
1320.000000	73.334	-159.8776
1340.000000	73.425	-159.4456
1360.000000	73.523	-158.9945
1380.000000	73.629	-158.5361
1400.000000	73.743	-158.0820
1430.000000	73.929	-157.4253
1450.000000	74.062	-157.0147
1475.000000	74.239	-156.5474
1500.000000	74.427	-156.1469
1525.000000	74.624	-155.8208
1550.000000	74.826	-155.5717
1575.000000	75.032	-155.4056
1600.000000	75.240	-155.3258
1625.000000	75.448	-155.3288
1650.000000	75.656	-155.4090
1675.000000	75.862	-155.5619
1700.000000	76.064	-155.7847
1725.000000	76.264	-156.0764
1750.000000	76.459	-156.4367
1775.000000	76.648	-156.8618
1800.000000	76.831	-157.3453
1825.000000	77.006	-157.8826
1850.000000	77.172	-158.4680
1875.000000	77.329	-159.0915
1900.000000	77.477	-159.7410
1925.000000	77.616	-160.4042
1950.000000	77.746	-161.0702
1975.000000	77.868	-161.7326
2000.000000	77.985	-162.3868
2030.000000	78.117	-163.1569
2060.000000	78.245	-163.9088
2090.000000	78.370	-164.6437
2120.000000	78.494	-165.3647
2140.000000	78.576	-165.8405
2180.000000	78.742	-166.7909
2200.000000	78.826	-167.2732
2240.000000	78.998	-168.2729
2270.000000	79.130	-169.0674
2300.000000	79.263	-169.9148
2330.000000	79.395	-170.8264
2360.000000	79.523	-171.8027
2400.000000	79.688	-173.1942
2430.000000	79.807	-174.3047
2470.000000	79.958	-175.8919
2500.000000	80.064	-177.1743
2540.000000	80.189	-179.0101
2580.000000	80.289	179.0261
2620.000000	80.361	176.9705
2650.000000	80.395	175.3892
2690.000000	80.413	173.2455
2720.000000	80.406	171.6276
2760.000000	80.369	169.4839
2800.000000	80.302	167.3754
2850.000000	80.176	164.8184
2900.000000	80.007	162.4050
2950.000000	79.799	160.1858
3000.000000	79.560	158.1922
3040.000000	79.353	156.7708
3070.000000	79.190	155.8070
3110.000000	78.967	154.6538
3150.000000	78.738	153.6437
3200.000000	78.447	152.5740
3250.000000	78.154	151.7206
3300.000000	77.861	151.0924
3350.000000	77.578	150.6858
3400.000000	77.311	150.4621
3450.000000	77.063	150.3671
3500.000000	76.833	150.3748
3550.000000	76.622	150.4727
3600.000000	76.432	150.6287
3650.000000	76.262	150.7993
3700.000000	76.110	150.9579
3750.000000	75.972	151.0960
3820.000000	75.800	151.2285
3870.000000	75.690	151.2541
3950.000000	75.522	151.1602
4000.000000	75.415	151.0382
4060.000000	75.283	150.8734
4120.000000	75.146	150.7414
4180.000000	75.014	150.6796
4250.000000	74.875	150.6664
4310.000000	74.774	150.6371
4370.000000	74.683	150.5640
4440.000000	74.589	150.4408
4500.000000	74.523	150.2957
4550.000000	74.480	150.1334
4620.000000	74.439	149.8262
4680.000000	74.429	149.4457
4750.000000	74.448	148.7566
4820.000000	74.493	147.6652
4870.000000	74.529	146.5723
4940.000000	74.563	144.5537
5000.000000	74.554	142.3765
5080.000000	74.450	138.9267
5150.000000	74.243	135.5726
5220.000000	73.909	132.1489
5300.000000	73.368	128.4849
5380.000000	72.668	125.4373
